video_id,gloss,split,signer_id,video_path,exists,label
60385,umbrella,train,12,..\data\videos\60385.mp4,True,1873
62196,wall,train,38,..\data\videos\62196.mp4,True,1914
50268,sell,train,70,..\data\videos\50268.mp4,True,1528
65067,and,val,88,..\data\videos\65067.mp4,True,64
15548,deny,train,4,..\data\videos\15548.mp4,True,493
45652,quarrel,val,2,..\data\videos\45652.mp4,True,1388
56367,swimsuit,val,40,..\data\videos\56367.mp4,True,1738
58774,tolerate,train,12,..\data\videos\58774.mp4,True,1825
10443,child,train,2,..\data\videos\10443.mp4,True,332
54117,spring,test,38,..\data\videos\54117.mp4,True,1661
38728,nose,val,35,..\data\videos\38728.mp4,True,1172
3240,area,train,11,..\data\videos\03240.mp4,True,89
24586,giraffe,test,11,..\data\videos\24586.mp4,True,781
8817,camp,val,1,..\data\videos\08817.mp4,True,278
65814,get up,test,94,..\data\videos\65814.mp4,True,778
62502,water,train,52,..\data\videos\62502.mp4,True,1926
11628,cold,val,59,..\data\videos\11628.mp4,True,368
21843,finance,train,41,..\data\videos\21843.mp4,True,701
22780,fool,val,10,..\data\videos\22780.mp4,True,726
69494,student,test,115,..\data\videos\69494.mp4,True,1703
63069,when,train,31,..\data\videos\63069.mp4,True,1949
63188,whistle,train,11,..\data\videos\63188.mp4,True,1953
34402,magic,train,41,..\data\videos\34402.mp4,True,1056
37854,necklace,test,4,..\data\videos\37854.mp4,True,1146
8937,can,train,59,..\data\videos\08937.mp4,True,280
2478,analyze,train,13,..\data\videos\02478.mp4,True,62
43727,popular,val,13,..\data\videos\43727.mp4,True,1308
49646,scientist,train,13,..\data\videos\49646.mp4,True,1511
58397,ticket,train,12,..\data\videos\58397.mp4,True,1810
54440,star,test,13,..\data\videos\54440.mp4,True,1672
4537,babysitter,train,12,..\data\videos\04537.mp4,True,134
42552,physics,train,2,..\data\videos\42552.mp4,True,1274
20741,fact,val,21,..\data\videos\20741.mp4,True,671
66803,word,train,88,..\data\videos\66803.mp4,True,1976
7265,bother,train,11,..\data\videos\07265.mp4,True,218
65635,enjoy,train,90,..\data\videos\65635.mp4,True,626
59237,tradition,val,12,..\data\videos\59237.mp4,True,1844
22980,forgive,train,41,..\data\videos\22980.mp4,True,733
25511,grass,train,11,..\data\videos\25511.mp4,True,809
44227,prefer,train,12,..\data\videos\44227.mp4,True,1329
41511,patient,val,11,..\data\videos\41511.mp4,True,1243
9490,category,train,59,..\data\videos\09490.mp4,True,301
8431,but,train,11,..\data\videos\08431.mp4,True,260
66123,mind,train,89,..\data\videos\66123.mp4,True,1095
61226,valley,train,12,..\data\videos\61226.mp4,True,1890
5486,bear,train,36,..\data\videos\05486.mp4,True,159
45449,purpose,train,2,..\data\videos\45449.mp4,True,1380
57730,their,train,11,..\data\videos\57730.mp4,True,1785
65640,equal,train,90,..\data\videos\65640.mp4,True,632
65331,chance,val,99,..\data\videos\65331.mp4,True,316
58580,tiptoe,train,11,..\data\videos\58580.mp4,True,1814
66637,thursday,train,98,..\data\videos\66637.mp4,True,1809
44962,propaganda,train,11,..\data\videos\44962.mp4,True,1363
64446,yourself,train,32,..\data\videos\64446.mp4,True,1998
54090,spread,val,13,..\data\videos\54090.mp4,True,1660
7625,breakfast,val,52,..\data\videos\07625.mp4,True,236
16131,dictionary,train,11,..\data\videos\16131.mp4,True,516
6138,bible,train,59,..\data\videos\06138.mp4,True,185
5967,benefit,train,12,..\data\videos\05967.mp4,True,178
55805,sun,train,31,..\data\videos\55805.mp4,True,1714
65216,blue,train,90,..\data\videos\65216.mp4,True,204
5631,bed,train,4,..\data\videos\05631.mp4,True,164
14984,debt,train,12,..\data\videos\14984.mp4,True,475
53235,something,train,12,..\data\videos\53235.mp4,True,1631
24382,germany,test,34,..\data\videos\24382.mp4,True,776
20862,fake,train,4,..\data\videos\20862.mp4,True,675
33001,liability,train,32,..\data\videos\33001.mp4,True,1018
16503,discipline,val,4,..\data\videos\16503.mp4,True,531
27591,hit,train,31,..\data\videos\27591.mp4,True,870
835,across,train,4,..\data\videos\00835.mp4,True,11
59129,towel,train,12,..\data\videos\59129.mp4,True,1840
586,accent,train,4,..\data\videos\00586.mp4,True,6
7390,bowling,train,31,..\data\videos\07390.mp4,True,222
8167,bull,train,31,..\data\videos\08167.mp4,True,253
