video_id,gloss,split,signer_id,video_path,exists,label
69241,book,train,118,..\data\videos\69241.mp4,True,210
07069,book,train,31,..\data\videos\07069.mp4,True,210
07068,book,train,36,..\data\videos\07068.mp4,True,210
07070,book,train,59,..\data\videos\07070.mp4,True,210
07099,book,val,12,..\data\videos\07099.mp4,True,210
07074,book,train,11,..\data\videos\07074.mp4,True,210
69302,drink,val,115,..\data\videos\69302.mp4,True,568
65539,drink,train,94,..\data\videos\65539.mp4,True,568
17710,drink,train,36,..\data\videos\17710.mp4,True,568
17733,drink,train,12,..\data\videos\17733.mp4,True,568
65540,drink,train,94,..\data\videos\65540.mp4,True,568
17734,drink,val,12,..\data\videos\17734.mp4,True,568
17711,drink,train,52,..\data\videos\17711.mp4,True,568
17712,drink,train,6,..\data\videos\17712.mp4,True,568
17713,drink,test,21,..\data\videos\17713.mp4,True,568
17709,drink,train,2,..\data\videos\17709.mp4,True,568
17720,drink,train,11,..\data\videos\17720.mp4,True,568
17721,drink,train,10,..\data\videos\17721.mp4,True,568
17722,drink,train,10,..\data\videos\17722.mp4,True,568
17723,drink,train,10,..\data\videos\17723.mp4,True,568
17724,drink,val,11,..\data\videos\17724.mp4,True,568
12328,computer,train,11,..\data\videos\12328.mp4,True,392
12312,computer,val,38,..\data\videos\12312.mp4,True,392
12311,computer,train,56,..\data\videos\12311.mp4,True,392
12338,computer,train,41,..\data\videos\12338.mp4,True,392
12313,computer,train,38,..\data\videos\12313.mp4,True,392
12314,computer,train,4,..\data\videos\12314.mp4,True,392
12315,computer,val,4,..\data\videos\12315.mp4,True,392
12316,computer,train,4,..\data\videos\12316.mp4,True,392
12317,computer,train,4,..\data\videos\12317.mp4,True,392
12318,computer,train,4,..\data\videos\12318.mp4,True,392
12319,computer,train,45,..\data\videos\12319.mp4,True,392
12320,computer,test,59,..\data\videos\12320.mp4,True,392
12326,computer,val,11,..\data\videos\12326.mp4,True,392
12327,computer,train,11,..\data\videos\12327.mp4,True,392
05728,before,train,32,..\data\videos\05728.mp4,True,168
05749,before,train,12,..\data\videos\05749.mp4,True,168
05750,before,val,12,..\data\videos\05750.mp4,True,168
05729,before,train,46,..\data\videos\05729.mp4,True,168
05730,before,train,32,..\data\videos\05730.mp4,True,168
65167,before,train,88,..\data\videos\65167.mp4,True,168
05731,before,train,4,..\data\videos\05731.mp4,True,168
05732,before,train,13,..\data\videos\05732.mp4,True,168
05733,before,train,13,..\data\videos\05733.mp4,True,168
05734,before,train,13,..\data\videos\05734.mp4,True,168
05727,before,test,38,..\data\videos\05727.mp4,True,168
05739,before,test,10,..\data\videos\05739.mp4,True,168
05740,before,train,10,..\data\videos\05740.mp4,True,168
05741,before,test,11,..\data\videos\05741.mp4,True,168
05742,before,train,11,..\data\videos\05742.mp4,True,168
05743,before,train,11,..\data\videos\05743.mp4,True,168
09848,chair,train,0,..\data\videos\09848.mp4,True,313
09869,chair,train,12,..\data\videos\09869.mp4,True,313
09849,chair,train,38,..\data\videos\09849.mp4,True,313
09850,chair,train,31,..\data\videos\09850.mp4,True,313
09851,chair,val,59,..\data\videos\09851.mp4,True,313
65328,chair,train,90,..\data\videos\65328.mp4,True,313
09854,chair,val,11,..\data\videos\09854.mp4,True,313
69345,go,val,118,..\data\videos\69345.mp4,True,789
24955,go,train,10,..\data\videos\24955.mp4,True,789
24956,go,train,10,..\data\videos\24956.mp4,True,789
24941,go,train,36,..\data\videos\24941.mp4,True,789
24960,go,test,10,..\data\videos\24960.mp4,True,789
24961,go,train,10,..\data\videos\24961.mp4,True,789
24962,go,train,10,..\data\videos\24962.mp4,True,789
65824,go,train,94,..\data\videos\65824.mp4,True,789
24973,go,train,41,..\data\videos\24973.mp4,True,789
24943,go,train,52,..\data\videos\24943.mp4,True,789
24946,go,val,31,..\data\videos\24946.mp4,True,789
24947,go,train,21,..\data\videos\24947.mp4,True,789
24940,go,train,0,..\data\videos\24940.mp4,True,789
24952,go,val,10,..\data\videos\24952.mp4,True,789
24954,go,train,10,..\data\videos\24954.mp4,True,789
11310,clothes,train,38,..\data\videos\11310.mp4,True,358
11330,clothes,train,12,..\data\videos\11330.mp4,True,358
11311,clothes,test,59,..\data\videos\11311.mp4,True,358
11313,clothes,train,11,..\data\videos\11313.mp4,True,358
11309,clothes,train,42,..\data\videos\11309.mp4,True,358
69534,who,train,118,..\data\videos\69534.mp4,True,1955
63242,who,train,12,..\data\videos\63242.mp4,True,1955
63226,who,test,36,..\data\videos\63226.mp4,True,1955
63227,who,train,6,..\data\videos\63227.mp4,True,1955
63228,who,train,6,..\data\videos\63228.mp4,True,1955
63229,who,val,4,..\data\videos\63229.mp4,True,1955
63230,who,val,46,..\data\videos\63230.mp4,True,1955
63231,who,train,13,..\data\videos\63231.mp4,True,1955
66778,who,train,88,..\data\videos\66778.mp4,True,1955
63232,who,train,59,..\data\videos\63232.mp4,True,1955
66779,who,train,88,..\data\videos\66779.mp4,True,1955
63225,who,train,42,..\data\videos\63225.mp4,True,1955
63236,who,train,11,..\data\videos\63236.mp4,True,1955
63237,who,val,11,..\data\videos\63237.mp4,True,1955
